sentiment,text,pretoken,token,stemmed,lemmatized,posttoken,nonletterclean
"0","0","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!","is upset that he cannot update his Facebook by texting it... and might cry as a result School today also. Blah!","['is', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'Facebook', 'by', 'texting', 'it', '...', 'and', 'might', 'cry', 'as', 'a', 'result', 'School', 'today', 'also', '.', 'Blah', '!']","['is', 'upset', 'that', 'he', 'cannot', 'updat', 'hi', 'facebook', 'by', 'text', 'it', '...', 'and', 'might', 'cri', 'as', 'a', 'result', 'school', 'today', 'also', '.', 'blah', '!']","['be', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'facebook', 'by', 'texting', 'it', '...', 'and', 'might', 'cry', 'as', 'a', 'result', 'school', 'today', 'also', '.', 'blah', '!']","['be', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'facebook', 'by', 'texting', 'it', 'and', 'might', 'cry', 'as', 'a', 'result', 'school', 'today', 'also', 'blah']","be upset that he cannot update his facebook by texting it and might cry as a result school today also blah"
"1","0","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds","I dived many times for the ball. Managed to save 50% The rest go out of bounds","['I', 'dived', 'many', 'times', 'for', 'the', 'ball', '.', 'Managed', 'to', 'save', '50', '%', 'The', 'rest', 'go', 'out', 'of', 'bounds']","['i', 'dive', 'mani', 'time', 'for', 'the', 'ball', '.', 'manag', 'to', 'save', '50', '%', 'the', 'rest', 'go', 'out', 'of', 'bound']","['i', 'dive', 'many', 'time', 'for', 'the', 'ball', '.', 'manage', 'to', 'save', '50', '%', 'the', 'rest', 'go', 'out', 'of', 'bound']","['i', 'dive', 'many', 'time', 'for', 'the', 'ball', 'manage', 'to', 'save', 'the', 'rest', 'go', 'out', 'of', 'bound']","i dive many time for the ball manage to save the rest go out of bound"
"2","0","my whole body feels itchy and like its on fire ","my whole body feels itchy and like its on fire","['my', 'whole', 'body', 'feels', 'itchy', 'and', 'like', 'its', 'on', 'fire']","['my', 'whole', 'bodi', 'feel', 'itchi', 'and', 'like', 'it', 'on', 'fire']","['my', 'whole', 'body', 'feel', 'itchy', 'and', 'like', 'its', 'on', 'fire']","['my', 'whole', 'body', 'feel', 'itchy', 'and', 'like', 'its', 'on', 'fire']","my whole body feel itchy and like its on fire"
"3","0","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ","no, it is not behaving at all. i am mad. why am i here? because I cannot see you all over there.","['no', ',', 'it', 'is', 'not', 'behaving', 'at', 'all', '.', 'i', 'am', 'mad', '.', 'why', 'am', 'i', 'here', '?', 'because', 'I', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', ',', 'it', 'is', 'not', 'behav', 'at', 'all', '.', 'i', 'am', 'mad', '.', 'whi', 'am', 'i', 'here', '?', 'becaus', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', ',', 'it', 'be', 'not', 'behave', 'at', 'all', '.', 'i', 'be', 'mad', '.', 'why', 'be', 'i', 'here', '?', 'because', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', 'it', 'be', 'not', 'behave', 'at', 'all', 'i', 'be', 'mad', 'why', 'be', 'i', 'here', 'because', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there']","no it be not behave at all i be mad why be i here because i cannot see you all over there"
"4","0","@Kwesidei not the whole crew ","not the whole crew","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","not the whole crew"
"5","0","Need a hug ","Need a hug","['Need', 'a', 'hug']","['need', 'a', 'hug']","['need', 'a', 'hug']","['need', 'a', 'hug']","need a hug"
"6","0","@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","hey long time no see! Yes.. Rains a bit ,only a bit LOL , I am fine thanks , how is you ?","['hey', 'long', 'time', 'no', 'see', '!', 'Yes', '..', 'Rains', 'a', 'bit', ',', 'only', 'a', 'bit', 'LOL', ',', 'I', 'am', 'fine', 'thanks', ',', 'how', 'is', 'you', '?']","['hey', 'long', 'time', 'no', 'see', '!', 'ye', '..', 'rain', 'a', 'bit', ',', 'onli', 'a', 'bit', 'lol', ',', 'i', 'am', 'fine', 'thank', ',', 'how', 'is', 'you', '?']","['hey', 'long', 'time', 'no', 'see', '!', 'yes', '..', 'rain', 'a', 'bit', ',', 'only', 'a', 'bit', 'lol', ',', 'i', 'be', 'fine', 'thanks', ',', 'how', 'be', 'you', '?']","['hey', 'long', 'time', 'no', 'see', 'yes', 'rain', 'a', 'bit', 'only', 'a', 'bit', 'lol', 'i', 'be', 'fine', 'thanks', 'how', 'be', 'you']","hey long time no see yes rain a bit only a bit lol i be fine thanks how be you"
"7","0","@Tatiana_K nope they didn't have it ","nope they did not have it","['nope', 'they', 'did', 'not', 'have', 'it']","['nope', 'they', 'did', 'not', 'have', 'it']","['nope', 'they', 'do', 'not', 'have', 'it']","['nope', 'they', 'do', 'not', 'have', 'it']","nope they do not have it"
"8","0","@twittera que me muera ? ","que me muera ?","['que', 'me', 'muera', '?']","['que', 'me', 'muera', '?']","['que', 'me', 'muera', '?']","['que', 'me', 'muera']","que me muera"
"9","0","spring break in plain city... it's snowing ","spring break in plain city... it is snowing","['spring', 'break', 'in', 'plain', 'city', '...', 'it', 'is', 'snowing']","['spring', 'break', 'in', 'plain', 'citi', '...', 'it', 'is', 'snow']","['spring', 'break', 'in', 'plain', 'city', '...', 'it', 'be', 'snow']","['spring', 'break', 'in', 'plain', 'city', 'it', 'be', 'snow']","spring break in plain city it be snow"
"10","0","I just re-pierced my ears ","I just re-pierced my ears","['I', 'just', 're-pierced', 'my', 'ears']","['i', 'just', 're-pierc', 'my', 'ear']","['i', 'just', 're-pierced', 'my', 'ear']","['i', 'just', 're-pierced', 'my', 'ear']","i just repierced my ear"
"11","0","@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .","I could not bear to watch it. And I thought the UA loss was embarrassing . . . . .","['I', 'could', 'not', 'bear', 'to', 'watch', 'it', '.', 'And', 'I', 'thought', 'the', 'UA', 'loss', 'was', 'embarrassing', '. . . . .']","['i', 'could', 'not', 'bear', 'to', 'watch', 'it', '.', 'and', 'i', 'thought', 'the', 'ua', 'loss', 'wa', 'embarrass', '. . . . .']","['i', 'could', 'not', 'bear', 'to', 'watch', 'it', '.', 'and', 'i', 'think', 'the', 'ua', 'loss', 'be', 'embarrass', '. . . . .']","['i', 'could', 'not', 'bear', 'to', 'watch', 'it', 'and', 'i', 'think', 'the', 'ua', 'loss', 'be', 'embarrass', '. . . . .']","i could not bear to watch it and i think the ua loss be embarrass     "
"12","0","@octolinz16 It it counts, idk why I did either. you never talk to me anymore ","It it counts, i do not know why I did either. you never talk to me anymore","['It', 'it', 'counts', ',', 'i', 'do', 'not', 'know', 'why', 'I', 'did', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymore']","['it', 'it', 'count', ',', 'i', 'do', 'not', 'know', 'whi', 'i', 'did', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymor']","['it', 'it', 'count', ',', 'i', 'do', 'not', 'know', 'why', 'i', 'do', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymore']","['it', 'it', 'count', 'i', 'do', 'not', 'know', 'why', 'i', 'do', 'either', 'you', 'never', 'talk', 'to', 'me', 'anymore']","it it count i do not know why i do either you never talk to me anymore"
"13","0","@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","i would have been the first, but i did not have a gun. not really though, zac snyder's just a doucheclown.","['i', 'would', 'have', 'been', 'the', 'first', ',', 'but', 'i', 'did', 'not', 'have', 'a', 'gun', '.', 'not', 'really', 'though', ',', 'zac', ""snyder's"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'been', 'the', 'first', ',', 'but', 'i', 'did', 'not', 'have', 'a', 'gun', '.', 'not', 'realli', 'though', ',', 'zac', ""snyder'"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'be', 'the', 'first', ',', 'but', 'i', 'do', 'not', 'have', 'a', 'gun', '.', 'not', 'really', 'though', ',', 'zac', ""snyder's"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'be', 'the', 'first', 'but', 'i', 'do', 'not', 'have', 'a', 'gun', 'not', 'really', 'though', 'zac', ""snyder's"", 'just', 'a', 'doucheclown']","i would have be the first but i do not have a gun not really though zac snyders just a doucheclown"
"14","0","@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!","I wish I got to watch it with you!! I miss you and how was the premiere?!","['I', 'wish', 'I', 'got', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'I', 'miss', 'you', 'and', 'how', 'was', 'the', 'premiere', '?', '!']","['i', 'wish', 'i', 'got', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'i', 'miss', 'you', 'and', 'how', 'wa', 'the', 'premier', '?', '!']","['i', 'wish', 'i', 'get', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'i', 'miss', 'you', 'and', 'how', 'be', 'the', 'premiere', '?', '!']","['i', 'wish', 'i', 'get', 'to', 'watch', 'it', 'with', 'you', 'i', 'miss', 'you', 'and', 'how', 'be', 'the', 'premiere']","i wish i get to watch it with you i miss you and how be the premiere"
"15","0","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?","Hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?","['Hollis', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'is', 'directors', 'cut', 'not', 'out', 'now', '?']","['holli', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'sever', 'to', 'watch', 'on', 'film', 'wri', 'is', 'director', 'cut', 'not', 'out', 'now', '?']","['hollis', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'be', 'director', 'cut', 'not', 'out', 'now', '?']","['hollis', 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'be', 'director', 'cut', 'not', 'out', 'now']","hollis death scene will hurt me severely to watch on film wry be director cut not out now"
"16","0","about to file taxes ","about to file taxes","['about', 'to', 'file', 'taxes']","['about', 'to', 'file', 'tax']","['about', 'to', 'file', 'tax']","['about', 'to', 'file', 'tax']","about to file tax"
"17","0","@LettyA ahh ive always wanted to see rent  love the soundtrack!!","ahh i have always wanted to see rent love the soundtrack!!","['ahh', 'i', 'have', 'always', 'wanted', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'alway', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'always', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'always', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack']","ahh i have always want to see rent love the soundtrack"
"18","0","@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ","Oh dear. Were you drinking out of the forgotten table drinks?","['Oh', 'dear', '.', 'Were', 'you', 'drinking', 'out', 'of', 'the', 'forgotten', 'table', 'drinks', '?']","['oh', 'dear', '.', 'were', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'tabl', 'drink', '?']","['oh', 'dear', '.', 'be', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'table', 'drink', '?']","['oh', 'dear', 'be', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'table', 'drink']","oh dear be you drink out of the forgotten table drink"
"19","0","@alydesigns i was out most of the day so didn't get much done ","i was out most of the day so did not get much done","['i', 'was', 'out', 'most', 'of', 'the', 'day', 'so', 'did', 'not', 'get', 'much', 'done']","['i', 'wa', 'out', 'most', 'of', 'the', 'day', 'so', 'did', 'not', 'get', 'much', 'done']","['i', 'be', 'out', 'most', 'of', 'the', 'day', 'so', 'do', 'not', 'get', 'much', 'do']","['i', 'be', 'out', 'most', 'of', 'the', 'day', 'so', 'do', 'not', 'get', 'much', 'do']","i be out most of the day so do not get much do"
"20","0","one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ","one of my friend called me, and asked to meet with her at Mid Valley today...but i have no time *sigh*","['one', 'of', 'my', 'friend', 'called', 'me', ',', 'and', 'asked', 'to', 'meet', 'with', 'her', 'at', 'Mid', 'Valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', ',', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', ',', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', 'but', 'i', 'have', 'no', 'time', 'sigh']","one of my friend call me and ask to meet with her at mid valley today but i have no time sigh"
"21","0","@angry_barista I baked you a cake but I ated it ","I baked you a cake but I ated it","['I', 'baked', 'you', 'a', 'cake', 'but', 'I', 'ated', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ate', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ated', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ated', 'it']","i bake you a cake but i ated it"
"22","0","this week is not going as i had hoped ","this week is not going as i had hoped","['this', 'week', 'is', 'not', 'going', 'as', 'i', 'had', 'hoped']","['thi', 'week', 'is', 'not', 'go', 'as', 'i', 'had', 'hope']","['this', 'week', 'be', 'not', 'go', 'as', 'i', 'have', 'hop']","['this', 'week', 'be', 'not', 'go', 'as', 'i', 'have', 'hop']","this week be not go as i have hop"
"23","0","blagh class at 8 tomorrow ","blagh class at 8 tomorrow","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', 'tomorrow']","blagh class at tomorrow"
"24","0","I hate when I have to call and wake people up ","I hate when I have to call and wake people up","['I', 'hate', 'when', 'I', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'peopl', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']","i hate when i have to call and wake people up"
"25","0","Just going to cry myself to sleep after watching Marley and Me.  ","Just going to cry myself to sleep after watching Marley and Me.","['Just', 'going', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watching', 'Marley', 'and', 'Me', '.']","['just', 'go', 'to', 'cri', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me', '.']","['just', 'go', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me', '.']","['just', 'go', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me']","just go to cry myself to sleep after watch marley and me"
"26","0","im sad now  Miss.Lilly","i am sad now Miss.Lilly","['i', 'am', 'sad', 'now', 'Miss.Lilly']","['i', 'am', 'sad', 'now', 'miss.lilli']","['i', 'be', 'sad', 'now', 'miss.lilly']","['i', 'be', 'sad', 'now', 'miss.lilly']","i be sad now misslilly"
"27","0","ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ","ooooh.... LOL that leslie.... and ok I will not do it again so leslie will not get mad again","['oooh', '...', 'LOL', 'that', 'leslie', '...', 'and', 'ok', 'I', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']","['oooh', '...', 'lol', 'that', 'lesli', '...', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'lesli', 'will', 'not', 'get', 'mad', 'again']","['oooh', '...', 'lol', 'that', 'leslie', '...', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']","['oooh', 'lol', 'that', 'leslie', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']","oooh lol that leslie and ok i will not do it again so leslie will not get mad again"
"28","0","Meh... Almost Lover is the exception... this track gets me depressed every time. ","Meh... Almost Lover is the exception... this track gets me depressed every time.","['Meh', '...', 'Almost', 'Lover', 'is', 'the', 'exception', '...', 'this', 'track', 'gets', 'me', 'depressed', 'every', 'time', '.']","['meh', '...', 'almost', 'lover', 'is', 'the', 'except', '...', 'thi', 'track', 'get', 'me', 'depress', 'everi', 'time', '.']","['meh', '...', 'almost', 'lover', 'be', 'the', 'exception', '...', 'this', 'track', 'get', 'me', 'depressed', 'every', 'time', '.']","['meh', 'almost', 'lover', 'be', 'the', 'exception', 'this', 'track', 'get', 'me', 'depressed', 'every', 'time']","meh almost lover be the exception this track get me depressed every time"
"29","0","some1 hacked my account on aim  now i have to make a new one","some1 hacked my account on aim now i have to make a new one","['some', '1', 'hacked', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', '1', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', '1', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","some hack my account on aim now i have to make a new one"
"30","0","@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though","I want to go to promote GEAR AND GROOVE but unfornately no ride there I may b going to the one in Anaheim in May though","['I', 'want', 'to', 'go', 'to', 'promote', 'GEAR', 'AND', 'GROOVE', 'but', 'unfornately', 'no', 'ride', 'there', 'I', 'may', 'b', 'going', 'to', 'the', 'one', 'in', 'Anaheim', 'in', 'May', 'though']","['i', 'want', 'to', 'go', 'to', 'promot', 'gear', 'and', 'groov', 'but', 'unforn', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']","['i', 'want', 'to', 'go', 'to', 'promote', 'gear', 'and', 'groove', 'but', 'unfornately', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']","['i', 'want', 'to', 'go', 'to', 'promote', 'gear', 'and', 'groove', 'but', 'unfornately', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']","i want to go to promote gear and groove but unfornately no ride there i may b go to the one in anaheim in may though"
"31","0","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon!","['thought', 'sleeping', 'in', 'was', 'an', 'option', 'tomorrow', 'but', 'realizing', 'that', 'it', 'now', 'is', 'not', '.', 'evaluations', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon', '!']","['thought', 'sleep', 'in', 'wa', 'an', 'option', 'tomorrow', 'but', 'realiz', 'that', 'it', 'now', 'is', 'not', '.', 'evalu', 'in', 'the', 'morn', 'and', 'work', 'in', 'the', 'afternoon', '!']","['think', 'sleep', 'in', 'be', 'an', 'option', 'tomorrow', 'but', 'realize', 'that', 'it', 'now', 'be', 'not', '.', 'evaluation', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon', '!']","['think', 'sleep', 'in', 'be', 'an', 'option', 'tomorrow', 'but', 'realize', 'that', 'it', 'now', 'be', 'not', 'evaluation', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon']","think sleep in be an option tomorrow but realize that it now be not evaluation in the morning and work in the afternoon"
"32","0","@julieebaby awe i love you too!!!! 1 am here  i miss you","awe i love you too!!!! 1 am here i miss you","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'am', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'am', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'be', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', 'be', 'here', 'i', 'miss', 'you']","awe i love you too be here i miss you"
"33","0","@HumpNinja I cry my asian eyes to sleep at night ","I cry my asian eyes to sleep at night","['I', 'cry', 'my', 'asian', 'eyes', 'to', 'sleep', 'at', 'night']","['i', 'cri', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']","['i', 'cry', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']","['i', 'cry', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']","i cry my asian eye to sleep at night"
"34","0","ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ","ok I am sick and spent an hour sitting in the shower because I was too sick to stand and held back the puke like a champ. BED now","['ok', 'I', 'am', 'sick', 'and', 'spent', 'an', 'hour', 'sitting', 'in', 'the', 'shower', 'because', 'I', 'was', 'too', 'sick', 'to', 'stand', 'and', 'held', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'BED', 'now']","['ok', 'i', 'am', 'sick', 'and', 'spent', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'becaus', 'i', 'wa', 'too', 'sick', 'to', 'stand', 'and', 'held', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'bed', 'now']","['ok', 'i', 'be', 'sick', 'and', 'spend', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'because', 'i', 'be', 'too', 'sick', 'to', 'stand', 'and', 'hold', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'bed', 'now']","['ok', 'i', 'be', 'sick', 'and', 'spend', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'because', 'i', 'be', 'too', 'sick', 'to', 'stand', 'and', 'hold', 'back', 'the', 'puke', 'like', 'a', 'champ', 'bed', 'now']","ok i be sick and spend an hour sit in the shower because i be too sick to stand and hold back the puke like a champ bed now"
"35","0","@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...","ill tell ya the story later not a good day and ill be workin for like three more hours...","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hours', '...']","['ill', 'tell', 'ya', 'the', 'stori', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour', '...']","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour', '...']","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour']","ill tell ya the story later not a good day and ill be workin for like three more hour"
"36","0","@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge","sorry! bed time came here (GMT+1)","['sorry', '!', 'bed', 'time', 'came', 'here', '(', 'GMT', '+', '1', ')']","['sorri', '!', 'bed', 'time', 'came', 'here', '(', 'gmt', '+', '1', ')']","['sorry', '!', 'bed', 'time', 'come', 'here', '(', 'gmt', '+', '1', ')']","['sorry', 'bed', 'time', 'come', 'here', 'gmt']","sorry bed time come here gmt"
